Абаза, Хакасия
Новоорск, Оренбургская  обл. 
Новопавловск, Ставропольский край
Новопетровское, Московская обл.
Новоплатнировская, Краснодарский край
Новопокровская станица , Краснодарский край
Новороссийск, Краснодарский край
Новоселицкое, Ставропольский край
Новосемейкино, Самарская обл.
Новосергиевка, Оренбургская обл. 
Новосибирск, Новосибирская обл.
Новосиликатный, Алтайский край
Новоспасское, Ульяновская обл.
Новосёлово, Красноярский край
Новотроицк, Оренбургская обл. 
Новоульяновск, Ульяновская обл.
Новоуральск, Свердловская обл.
Новоуральск, Свердловская обл. 
Новоуткинск, Свердловская обл.
Новофёдоровка, Крым респ.
Новочебоксарск, Чувашия респ.
Новочеркасск, Ростовская обл.
Новочернореченский, Красноярский край
Новошахтинск, Ростовская обл.
Новошешминск, Татарстан респ. 
Новые Бурасы, Саратовская обл.
Новые-Ляды, Пермский край
Новый Городок, Кемеровская обл.
Новый Городок, Московская обл.
Новый Оскол, Белгородская обл.
Новый Торъял, Марий Эл респ. 
Новый Ургал, Хабаровский край
Новый Уренгой, Тюменская обл.
Ногинск, Московская обл.
Ноглики, Сахалинская обл.
Ножай-Юрт, Чеченская респ.
Нолинск, Кировская обл.
Норильск, Красноярский край
Ноябрьск, Тюменская обл.
Нурлат, Татарстан респ. 
Нытва, Пермский край
Нюксеница, Вологодская обл.
Нюрба, Саха (Якутия) респ.
Нягань, Тюменская обл.
Нязепетровск, Челябинская обл.
Няндома, Архангельская обл.
Обливская, Ростовская обл.
Облучье, Еврейская АО
Обнинск, Калужская обл.
Обозерский, Архангельская обл.
Обоянь, Курская обл.
Одесское, Омская обл.
Одинцово, Московская обл.
Озерск, Челябинская обл.
Озеры, Московская обл.
Октябрьский, Архангельская обл.
Октябрьский, Башкортостан респ.
Октябрьский, Волгоградская обл.
Октябрьский, Краснодарский край
Октябрьский, Пермский край
Октябрьское, Оренбургская обл.
Октябрьское, Челябинская обл.
Окуловка, Новгородская обл.
Оленегорск, Мурманская обл.
Олонец, Карелия респ.
Ольховатка, Воронежская обл.
Омск, Омская обл.
Омск, Омская обл. 
Омутинское, Тюменская обл. 
Омутнинск, Кировская обл.
Онгудай, Алтайский  край 
Опочка, Псковская обл.
Ордынское, Новосибирская обл. 
Орел, Орловская обл.
Оренбург, Оренбургская обл.
Орехово-Зуево, Московская обл.
Оричи, Кировская обл.
Орлов, Кировская обл.
Орловский, Ростовская обл.
Орск, Оренбургская обл.
Оса, Пермский край
Осинники, Кемеровская обл. 
Осиновый мыс, Красноярский край
Осташков, Тверская обл.
Остров, Псковская обл.
Островское, Костромская обл.
Острогожск, Воронежская обл.
Отрадная, Краснодарский край
Отрадное, Ленинградская обл.
Отрадный, Самарская обл. 
Оха, Сахалинская обл.
Охотск, Хабаровский край
Очер, Пермский край
Ояш, Новосибирская обл. 
Павино, Костромская обл.
Павлово, Нижегородская обл.
Павловск, Алтайский край 
Павловск, Воронежская обл.
Павловская, Краснодарский край
Павловский Посад, Московская обл.
Павлоградка, Омская обл.
Палласовка, Волгоградская обл.
Панкрушиха, Алтайский край 
Парабель,  Томская обл.
Параньга, Марий Эл респ. 
Партизанское, Красноярский край
Пеледуй, Саха (Якутия) респ.
Пенза, Пензенская обл.
Первомайск, Нижегородская обл.
Первомайский, Оренбургская обл.
Первомайский, Тамбовская обл.
Первомайское, Алтайский край
Первомайское, Крым респ.
Первомайское, Томская обл.
Первоуральск, Свердловская обл.
Перевоз, Нижегородская обл.
Перелюб, Саратовская обл.
Переславль, Ярославская обл.
Пермь, Пермский край
Пестово, Новгородская обл.
Пестравка, Самарская обл.
Песчанокопское, Ростовская обл.
Петергоф, Ленинградская обл.
Петровск, Саратовская обл.
Петровск-Забайкальский, Забайкальский край
Петровское, Башкортостан респ.
Петровское, Тамбовская обл.
Петрозаводск, Карелия респ.
Петропавловка, Воронежская обл.
Петропавловск-Камчатский, Камчатский край
Петушки, Владимирская обл.
Печора, респ. Коми
Печоры, Псковская обл.
Пижанка, Кировская обл.
Пикалево, Ленинградская обл.
Пильна, Нижегородская обл.
Пителино, Рязанская обл.
Питкяранта, Карелия респ.
Плавица, Липецкая обл.
Плавск, Тульская обл.
Пласт, Челябинская обл.
Плесецк, Архангельская обл.
Плешаново, Оренбургская обл. 
Погар, Брянская обл.
Погрузная, Кошкинский р-он, Самарская обл.
Подгорное, Томская обл.
Подольск, Московская обл.
Подосиновец, Кировская обл.
Подпорожье, Ленинградская обл.
Поймо Тины, Красноярский край
Покачи, Тюменская обл.
Покосное, Иркутская обл.
Покров, Владимирская обл.
Покровка, Приморский край
Покровск, Саха (Якутия) респ.
Покровское, Свердловская обл.
Полевской, Свердловская обл.
Полесск, Калининградская обл.
Полетаево, Челябинская обл.
Полтавка, Омская обл.
Полтавская, Краснодарский край
Полысаево, Кемеровская обл. 
Поляны, Рязанская обл.
Полярные Зори, Мурманская обл.
Пономаревка, Оренбургская обл.
Поронайск, Сахалинская обл.
Порхов, Псковская обл.
Поспелиха, Алтайский край
Похвистнево, Самарская обл. 
Починки, Нижегородская обл.
Поярково, Амурская обл.
Правдинск, Калининградская обл.
Приаргунск, Забайкальский край
Приволжск, Ивановская обл.
Приволжье, Самарская обл.
Приморский, Крым респ.
Приморско-Ахтарск, Краснодарский край
Приобье, Тюменская обл.
Пристень, Курская обл.
Приютово, Башкортостан респ.
Приютово, Башкортостан респ. 
Прокопьевск, Кемеровская обл.
Прокопьевск, Кемеровская обл. 
Прокудское, Новосибирская обл. 
Пролетарск, Ростовская обл.
Промышленная, Кемеровская обл.
Просница, Кировская обл.
Протвино, Московская обл.
Прохладный, Кабардино-Балкарская респ.
Прохоровка, Белгородская обл.
Пряжа, Карелия респ.
Псков, Псковская обл.
Пугачев, Саратовская обл. 
Путятино, Рязанская обл.
Пучеж, Ивановская обл.
Пушкино, Московская обл.
Пущино, Московская обл.
Пыть-Ях, Тюменская обл.
Пышма, Свердловская обл.
Пятигорск, Ставропольский край
Радищево, Ульяновская обл. 
Радовицкий, Московская обл.
Радужный, Тюменская обл.
Раевский, Башкортостан респ.
Раевский, Башкортостан респ. 
Райчихинск, Амурская обл.
Ракитное, Белгородская обл.
Ракитное-1, Белгородская обл.
Раменское, Московская обл.
Рамонь, Воронежская обл.
Рассвет, Ленинградская обл.
Рассказово, Тамбовская обл.
Расшеватская, Ставропольский край
Рахата, Дагестан респ.
Ребриха, Алтайский край
Ревда, Свердловская обл.
Ревда, Свердловская обл. 
Реж, Свердловская обл.
Репьевка, Воронежская обл.
Рефтинский, Свердловская обл.
Речицы, Московская обл.
Ржев, Тверская обл.
Ровеньки, Белгородская обл.
Рогнедино, Брянская обл. 
Родино, Алтайский край
Родионово-Несветайская, Ростовская обл.
Романово, Алтайский край
Рославль, Смоленская обл.
Россошь, Воронежская обл.
Ростов, Ярославская обл.
Ростов-на-Дону, Ростовская обл.
Рошаль, Московская обл.
Ртищево, Саратовская обл.
Рубцовск, Алтайский край
Рубцовск, Алтайский край 
Рудня, Волгоградская  обл.
Руза, Московская обл.
Русская Поляна, Омская обл.
Рыбинск, Ярославская обл.
Рыбинск, Ярославская обл. 
Рыбная Слобода, Татарстан респ. 
Рыбное, Рязанская обл.
Ряжск, Рязанская обл.
Рязань, Рязанская обл.
Садовый, Новосибирская обл.
Саки, Крым респ.
Сакмара, Оренбургская обл.
Салават, Башкортостан респ.
Салават, Башкортостан респ. 
Салехард, Тюменская обл.
Салым, Тюменская обл.
Сальск, Ростовская обл.
Самара, Самарская обл.
Самара, Самарская обл. 
Самарское, Ростовская обл.
Санкт-Петербург, Ленинградская обл.
Сапожок, Рязанская обл.
Сараи, Рязанская обл.
Саракташ, Оренбургская обл. 
Саранск, Мордовия респ.
Сарапул, Удмуртия респ.
Саратов, Саратовская обл.
Саратов, п.Юбилейный, Саратовская обл.
Саргатское, Омская обл.
Саров, Нижегородская обл.
Сасово, Рязанская обл.
Сатка, Челябинская обл.
Сафакулево, Курганская обл.
Сафоново, Смоленская обл.
Саяногорcк, Хакасия респ.
Саянск, Иркутская обл.
Саянский, Красноярский край
Светлогорск, Калининградская обл.
Светлоград, Ставропольский край
Светлый, Оренбургская обл. 
Светлый, Саратовская обл.
Светогорск, Ленинградская обл.
Свирск, Иркутская обл.
Свободный, Амурская обл.
Себеж, Псковская обл.
Севастополь, Крым респ.
Северное, Оренбургская обл.
Северо-Енисейск, Красноярский край 
Северобайкальск, Бурятия респ. 
Северодвинск, Архангельская обл.
Североморск, Мурманская обл.
Североуральск, Свердловская обл.
Северск, Томская обл.
Северск, Томская обл. 
Северская, Краснодарский край
Сегежа, Карелия респ.
Седельниково, Омская обл.
Сельцо, Брянская обл.
Семенов, Нижегородская обл.
Семикаракорск, Ростовская обл.
Семилуки, Воронежская обл.
Сенгилей, Ульяновская обл.
Серафимович, Волгоградская обл.
Сергач, Нижегородская обл.
Сергиев Посад, Московская обл.
Сердобск, Пензенская обл.
Серебряные Пруды, Московская обл.
Серебряные Пруды, Московская обл. 
Сернур, Марий Эл респ. 
Серов, Свердловская обл.
Серпухов, Московская обл.
Серышево, Амурская обл.
Сестрорецк, Ленинградская обл.
Сибай, Башкортостан респ. 
Сибирский, Алтайский край
Силикатный, Ульяновская обл.
Сим, Челябинская обл.
Симферополь, Крым респ.
Синегорский, Ростовская обл.
Сковородино, Амурская обл.
Скопин, Рязанская обл.
Славгород, Алтайский край
Славянка, Ленинградская обл.
Славянск-на-Кубани, Краснодарский край
Слободской, Кировская обл.
Слюдянка, Иркутская обл.
Смоленск, Смоленская обл.
Смоленское, Алтайский край
Смолино, Нижегородская обл.
Снежинск, Челябинская обл.
Собинка, Владимирская обл.
Совгавань, Хабаровский край
Советск, Калининградская обл.
Советск, Кировская обл.
Советский, Марий Эл респ. 
Советский, Тюменская обл.
Советское, Алтайский край
Советское, Крым респ.
Сокол, Вологодская обл.
Соколово, Алтайский край
Сокольское, Нижегородская обл.
Соликамск, Пермский край
Солнечногорск, Московская обл.
Солнечнодольск, Ставропольский край
Солнечный, Хабаровский край
Солонешное, Алтайский край
Солтон, Алтайский край
Сомово, Воронежская обл.
Сонково, Тверская обл.
Сорочинск, Оренбургская обл.
Сорск, Хакасия респ. 
Сосновоборск, Красноярский край
Сосновское, Нижегородская обл.
Сосновый Бор, Ленинградская обл.
Сосногорск, респ. Коми
Сосьва, Свердловская обл.
Сочи, Краснодарский край
Сочи-Бытха, Краснодарский край
Спас-Клепики, Рязанская обл.
Спасск, Пензенская обл.
Спасск-Дальний, Приморский край
Спирово, Тверская обл.
Среднеколымск, Саха (Якутия) респ.
Среднеуральск, Свердловская обл.
Ставрополь, Ставропольский край
Старая Купавна, Московская обл.
Старая Майна, Ульяновская обл. 
Старая Полтавка, Волгоградская обл.
Староалейское, Алтайский край
Старожилово, Рязанская обл.
Старокорсунская, Краснодарский край
Староминская, Краснодарский край
Старотитаровская, Краснодарский край
Старый Крым, Крым респ.
Старый Оскол, Белгородская обл.
Степное Озеро, Алтайский край
Стерлитамак, Башкортостан респ.
Стерлитамак, Башкортостан респ. 
Стрежевой, Томская обл.
Стрижи, Кировская обл.
Строитель, Белгородская обл.
Струнино, Владимирская обл.
Ступино, Московская обл.
Судак, Крым респ.
Суджа, Курская обл.
Сузун, Новосибирская обл. 
Суна, Кировская обл.
Сунжа, Ингушетия респ.
Сургут, Сергеевский р-он, Самарская обл.
Сургут, Тюменская обл.
Суровикино, Волгоградская обл.
Сурск, Пензенская обл. 
Сурское, Ульяновская обл.
Сухой Лог, Свердловская обл.
Сызрань, Самарская обл.
Сыктывкар, респ. Коми
Сысерть, Свердловская обл.
Сямжа, Вологодская обл.
Сясьстрой, Ленинградская обл.
Сёйка, Алтайский край 
Тавда, Свердловская обл.
Таврическое, Омская обл. 
Таганрог, Ростовская обл.
Таежный, Красноярский край
Тайга, Кемеровская обл.
Тайшет, Иркутская обл.
Талица, Свердловская обл.
Талнах, Красноярский край
Тальменка, Алтайский край
Тамань, Краснодарский край
Тамбов, Тамбовская обл.
Тамбовка, Амурская обл.
Тара, Омская обл.
Тарасовский, Ростовская обл.
Тасеево, Красноярский край
Татарск, Новосибирская обл.
Татарстан, Татарстан респ.
Тацинская, Ростовская обл.
Ташла, Оренбургская обл. 
Таштагол, Кемеровская обл. 
Таштып, Хакасия респ. 
Тбилисская, Краснодарский край
Тверь, Тверская обл.
Тевриз, Омская обл.
Тейково, Ивановская обл.
Темиртау, Кемеровская обл.
Темников, Мордовия респ.
Темрюк, Краснодарский край
Теплоозерск, Еврейская АО
Тербуны, Липецкая обл.
Терек, Кабардино-Балкарская респ.
Терентьевское, Кемеровская обл.
Тикси, Саха (Якутия) респ.
Тимашевск, Краснодарский край
Тисуль, Кемеровская обл.
Тихая Журавка, Ростовская обл.
Тихвин, Ленинградская обл.
Тихорецк, Краснодарский край
Тобольск, Тюменская обл.
Тогучин, Новосибирская обл. 
Толбазы, Башкортостан респ.
Тольятти, Самарская обл.
Тольятти, Самарская обл. 
Томск, Томская обл.
Тонкино, Нижегородская обл.
Топки, Кемеровская обл. 
Топчиха, Алтайский край
Торжок, Тверская обл.
Тосно, Ленинградская обл.
Тоцкое, Оренбургская обл. 
Тоцкое-2, Оренбургская обл. 
Трехгорный, Челябинская обл.
Троицк, Московская обл.
Троицк, Челябинская обл.
Троицкий, Белгородская обл.
Троицкое, Алтайский край
Троицкое, Хабаровский край
Трудовое, Приморский край
Труновское, Ставропольский край
Туапсе, Краснодарский край
Тужа, Кировская обл.
Туймазы, Башкортостан респ.
Тула, Тульская обл.
Тулун, Иркутская обл.
Туринск, Свердловская обл.
Турочак, Алтайский  край 
Турунтаево, Бурятия респ. 
Туруханск, Красноярский край
Тутаев, Ярославская обл.
Тучково, Московская обл.
Тымовское, Сахалинская обл.
Тында, Амурская обл.
Тыреть, Иркутская обл.
Тюкалинск, Омская обл.
Тюльган, Оренбургская обл.
Тюменцево, Алтайский край
Тюмень, Тюменская обл.
Тюхтет, Красноярский край
Тяжинский, Кемеровская обл.
Тёплое, Тульская обл.
Убинское, Новосибирская обл.
Убинское, Новосибирская обл. 
Ува, Удмуртия респ. 
Уват, Тюменская обл.
Углегорск, Амурская обл.
Углегорск, Сахалинская обл.
Углич, Ярославская обл.
Угловское, Алтайский край
Удачный, Саха (Якутия) респ.
Удомля, Тверская обл.
Ужур, Красноярский край
Узловая, Тульская обл.
Уйское, Челябинская обл.
Улан-Удэ, Бурятия респ.
Улан-Удэ, Бурятия респ. 
Ульяновск, Ульяновская обл.
Умет, Тамбовская обл.
Унеча, Брянская обл.
Уразово, Белгородская обл.
Урай, Тюменская обл.
Уржум, Кировская обл.
Урус-Мартан, Чеченская респ.
Урюпинск, Волгоградская обл.
Усинск, респ. Коми
Усмань, Липецкая обл.
Усолье-Сибирское, Иркутская обл.
Успенка, Тюменская обл.
Уссурийск, Приморский край
Усть-Абакан, Хакасия респ.
Усть-Джегута, Карачаево-Черкесская респ.
Усть-Донецкий, Ростовская обл.
Усть-Илимск, Иркутская обл.
Усть-Калманка, Алтайский край
Усть-Камчатск, Камчатский край
Усть-Катав, Челябинская обл.
Усть-Кинельский, Самарская обл.
Усть-Кокса,  Алтайский край
Усть-Кут, Иркутская обл.
Усть-Лабинск, Краснодарский край
Усть-Нера, Саха (Якутия) респ.
Усть-Пристань, Алтайский край
Усть-Тарка, Новосибирская обл. 
Усть-Уда, Иркутская обл.
Усть-Цильма, респ. Коми 
Устюжна, Вологодская обл.
Уфа, Башкортостан респ.
Уфа, Башкортостан респ. 
Ухолово, Рязанская обл.
Ухта, респ. Коми
Учалы, Башкортостан респ.
Учалы, Башкортостан респ. 
Уяр, Красноярский край
Федоровка, Башкортостан респ.
Федотово, Вологодская обл.
Феодосия, Крым респ.
Филимоново, Красноярский край
Фокино, Приморский край
Фролово, Волгоградская обл.
Фрязино, Московская обл.
Фурманов, Ивановская обл.
Фурманов,Ивановская обл.
Хабаровск, Хабаровский край
Хабары, Алтайский край
Хадыженск, Краснодарский край
Хандыга, Саха (Якутия) респ.
Ханты-Мансийск, Тюменская обл.
Харабали, Астраханская обл.
Хасавюрт, Дагестан респ.
Хатанга, Красноярский край
Хвалынск, Саратовская обл. 
Хворостянка, Самарская обл. 
Хилок, Забайкальский край
Химки, Московская обл.
Хлевное, Липецкая обл.
Холмская, Краснодарский край
Хор, Хабаровский край
Хоринск, Бурятия респ.
Хоста, Краснодарский край
Хотьково, Московская обл.
Цаплино, Алтайский край
Целинное,  Курганская обл.
Цивильск, респ. Чувашия
Циммермановка, Хабаровский край
Чаадаевка, Пензенская обл.
Чагода, Вологодская обл.
Чайковский, Пермский край 
Чалтырь, Ростовская обл.
Чаны, Новосибирская обл.
Чапаевск, Самарская обл. 
Чаплыгин, Липецкая обл.
Чарышское, Алтайский край
Чебаркуль, Челябинская обл.
Чебаркуль, Челябинская обл. 
Чебоксары, Чувашия респ.
Чегдомын, Хабаровский край
Чекмагуш, Башкортостан респ.
Челно-Вершины, Самарская обл.
Челябинск, Челябинская обл.
Чемал, Алтайский  край
Чемал, Алтайский край
Чемодановка, Пензенская обл.
Червишево, Тюменская обл.
Чердаклы, Ульяновская обл.
Черемное, Алтайский край
Черемухово,  Свердловская обл.
Черемхово, Иркутская обл.
Черепаново, Новосибирская обл.
Череповец, Вологодская обл.
Череповец, Вологодская обл. 
Черкесск, Карачаево-Черкесская респ.
Черлак, Омская обл.
Черниговка, Приморский край
Черноголовка, Московская обл.
Черногорск, Хакасия респ.
Черноисточинск, Свердловская обл.
Черноморский, Краснодарский край
Чернушка, Пермский край
Черный Яр, Астраханская обл.
Чернышевск, Забайкальский край
Чернь, Тульская обл.
Чернянка, Белгородская обл.
Черняховск, Калининградская обл.
Черский, Саха (Якутия) респ.
Чесма, Челябинская обл.
Чехов, Московская обл.
Чистоозерное, Новосибирская обл. 
Чистополь, Татарстан респ. 
Чита, Забайкальский край
Чишмы, Башкортостан респ.
Чкаловск, Нижегородская обл.
Чокурдах, Саха (Якутия) респ.
Чудово, Новгородская обл.
Чулым, Новосибирская обл.
Чульман, Якутия (респ. Саха)
Чумикан, Хабаровский край.
Чуна, Иркутская обл.
Чунояр, Красноярский край
Чунский,  Иркутская обл.
Чунский, Иркутская обл.
Чурапча, Чурапчинский улус, Саха (Якутия) респ.
Чусовой, Пермский край
Шабаново,  Кемеровская обл.
Шадринск, Курганская обл.
Шали, Чеченская респ.
Шаля, Свердловская обл.
Шарлык, Оренбургская обл.
Шарыпово, Красноярский край
Шарья, Костромская обл.
Шатура, Московская обл.
Шаумяновский, Ростовская обл.
Шафраново, Башкортостан респ.
Шахты, Ростовская обл.
Шахунья, Нижегородская обл.
Шебекино, Белгородская обл.
Шелехов, Иркутская обл.
Шелковская, Чеченская респ.
Шелоховская, Архангельская обл.
Шемурша, Чувашия респ. 
Шентала, Самарская обл. 
Шербакуль, Омская обл.
Шерегеш, Кемеровская обл.
Шерловая Гора, Забайкальский край
Шилово, Рязанская обл.
Шимановск, Амурская обл.
Шимск, Новгородская обл.
Шира, Хакасия респ.
Шумерля, Чувашия респ. 
Шумиха, Курганская обл.
Шушенское, Красноярский край
Шуя, Ивановская обл.
Щелкино, Крым респ.
Щелково-3, Московская обл.
Щербинка, Московская обл.
Щигры, Курская обл.
Щучье, Курганская обл.
Щёкино, Тульская обл.
Щёлково, Московская обл.
Ытык-Кюель, Саха (Якутия) респ
Эгвекинот, Чукотский АО
Экажево, Ингушетия респ.
Экимчан, Амурская область
Электросталь, Московская обл.
Электроугли, Московская обл.
Элиста, Калмыкия респ.
Элита, Красноярский край
Эльбан, Хабаровский край 
Энгельс, Саратовская обл.
Югорск, Тюменская обл.
Южа, Ивановская обл.
Южно-Сахалинск, Сахалинская обл.
Южноуральск, Челябинская обл.
Юмагузино, Башкортостан респ.
Юрга, Кемеровская обл.
Юрга, Кемеровская обл. 
Юрьев-Польский, Владимирская обл.
Юрьевец, Ивановская обл.
Юрья, Кировская обл.
Юрюзань, Челябинская обл.
Яблоновский, Адыгея респ.
Ядрин, Чувашия респ. 
Языково, Башкортостан респ.
Якутск, Саха (Якутия) респ.
Якшур-Бодья, Удмуртия респ. 
Ялта, Крым респ.
Ялуторовск, Тюменская обл.
Янаул, Башкортостан респ.
Янгантау, Башкортостан респ. 
Яранск, Кировская обл.
Яровое, Алтайский край 
Ярославль, Ярославская обл.
Ярцево, Смоленская обл.
Ясногорск, Забайкальский край
Ясный, Оренбургская обл. 
Яшалта, Калмыкия респ.
Яшкино, Кемеровская обл.
Яя, Кемеровская обл. 
